2010-Nov,Gas,4918
2010-Dec,Gas,4610
2011-Jan,Gas,3201
2011-Feb,Gas,3828
2011-Mar,Gas,6010
2011-Apr,Gas,10158
2011-May,Gas,9148
2011-Jun,Gas,22743
2011-Jul,Gas,13725
2011-Aug,Gas,4904
2011-Sep,Gas,5108
2011-Oct,Gas,5392
2011-Nov,Gas,9903
2011-Dec,Gas,8677
2012-Jan,Gas,9020
2012-Feb,Gas,12722
2012-Mar,Gas,2799
2012-Apr,Gas,3805
2012-May,Gas,4624
2012-Jun,Gas,2123
2012-Jul,Gas,12026
2012-Aug,Gas,10396
2012-Sep,Gas,15713
2012-Oct,Gas,11410
2012-Nov,Gas,11391
2012-Dec,Gas,13515
2013-Jan,Gas,18535
2013-Feb,Gas,3952
2013-Mar,Gas,3547
2013-Apr,Gas,6369
2013-May,Gas,2826
2013-Jun,Gas,7438
2013-Jul,Gas,8941
2013-Aug,Gas,17226
2013-Sep,Gas,13890
2013-Oct,Gas,18093
2013-Nov,Gas,18054
2013-Dec,Gas,18864
2014-Jan,Gas,7250
2014-Feb,Gas,7797
2014-Mar,Gas,8386
2014-Apr,Gas,3020
2014-May,Gas,3484
2014-Jun,Gas,5103
2014-Jul,Gas,20685
2014-Aug,Gas,19678
2014-Sep,Gas,16885
2014-Oct,Gas,21257
2014-Nov,Gas,22063
2014-Dec,Gas,8452
2015-Jan,Gas,5040
2015-Feb,Gas,5898
2015-Mar,Gas,7254
2015-Apr,Gas,3352
2015-May,Gas,7628
2015-Jun,Gas,23339
2015-Jul,Gas,17821
2015-Aug,Gas,13593
2015-Sep,Gas,16090
2015-Oct,Gas,19576
2015-Nov,Gas,4502
2015-Dec,Gas,4872
2016-Jan,Gas,6049
2016-Feb,Gas,7349
2016-Mar,Gas,3083
2016-Apr,Gas,5263
2016-May,Gas,17540
2016-Jun,Gas,12321
2016-Jul,Gas,13971
2016-Aug,Gas,17152
2016-Sep,Gas,18185
2016-Oct,Gas,15776
2016-Nov,Gas,2389
2016-Dec,Gas,4751
2017-Jan,Gas,12671
2017-Feb,Gas,2330
2017-Mar,Gas,6002
2017-Apr,Gas,2084
2017-May,Gas,2656
2017-Jun,Gas,8092
2017-Jul,Gas,13074
2017-Aug,Gas,10786
2017-Sep,Gas,6951
2017-Oct,Gas,7794
2017-Nov,Gas,2591
2017-Dec,Gas,5038
2018-Jan,Gas,11555
2018-Feb,Gas,10028
2018-Mar,Gas,5113
2018-Apr,Gas,4839
2018-May,Gas,4548
2018-Jun,Gas,5377
2018-Jul,Gas,6505
2018-Aug,Gas,4904
2018-Sep,Gas,4316
2018-Oct,Gas,2191
2018-Nov,Gas,3829
2018-Dec,Gas,6504
2019-Jan,Gas,8425
2019-Feb,Gas,4084
2019-Mar,Gas,4792
2019-Apr,Gas,3206
2019-May,Gas,3318
2019-Jun,Gas,6882
