Region,Month,Year,Utility,Usage
Full Campus,February,2010,Gas,2497
Full Campus,March,2010,Gas,2641
Full Campus,April,2010,Gas,2082
Full Campus,May,2010,Gas,4178
Full Campus,June,2010,Gas,4619
Full Campus,July,2010,Gas,5306
Full Campus,August,2010,Gas,3881
Full Campus,September,2010,Gas,3572
Full Campus,October,2010,Gas,2291
Full Campus,November,2010,Gas,4918
Full Campus,December,2010,Gas,4610
Full Campus,January,2011,Gas,3201
Full Campus,February,2011,Gas,3828
Full Campus,March,2011,Gas,6010
Full Campus,April,2011,Gas,10158
Full Campus,May,2011,Gas,9148
Full Campus,June,2011,Gas,22743
Full Campus,July,2011,Gas,13725
Full Campus,August,2011,Gas,4904
Full Campus,September,2011,Gas,5108
Full Campus,October,2011,Gas,5392
Full Campus,November,2011,Gas,9903
Full Campus,December,2011,Gas,8677
Full Campus,January,2012,Gas,9020
Full Campus,February,2012,Gas,12722
Full Campus,March,2012,Gas,2799
Full Campus,April,2012,Gas,3805
Full Campus,May,2012,Gas,4624
Full Campus,June,2012,Gas,2123
Full Campus,July,2012,Gas,12026
Full Campus,August,2012,Gas,10396
Full Campus,September,2012,Gas,15713
Full Campus,October,2012,Gas,11410
Full Campus,November,2012,Gas,11391
Full Campus,December,2012,Gas,13515
Full Campus,January,2013,Gas,18535
Full Campus,February,2013,Gas,3952
Full Campus,March,2013,Gas,3547
Full Campus,April,2013,Gas,6369
Full Campus,May,2013,Gas,2826
Full Campus,June,2013,Gas,7438
Full Campus,July,2013,Gas,8941
Full Campus,August,2013,Gas,17226
Full Campus,September,2013,Gas,13890
Full Campus,October,2013,Gas,18093
Full Campus,November,2013,Gas,18054
Full Campus,December,2013,Gas,18864
Full Campus,January,2014,Gas,7250
Full Campus,February,2014,Gas,7797
Full Campus,March,2014,Gas,8386
Full Campus,April,2014,Gas,3020
Full Campus,May,2014,Gas,3484
Full Campus,June,2014,Gas,5103
Full Campus,July,2014,Gas,20685
Full Campus,August,2014,Gas,19678
Full Campus,September,2014,Gas,16885
Full Campus,October,2014,Gas,21257
Full Campus,November,2014,Gas,22063
Full Campus,December,2014,Gas,8452
Full Campus,January,2015,Gas,5040
Full Campus,February,2015,Gas,5898
Full Campus,March,2015,Gas,7254
Full Campus,April,2015,Gas,3352
Full Campus,May,2015,Gas,7628
Full Campus,June,2015,Gas,23339
Full Campus,July,2015,Gas,17821
Full Campus,August,2015,Gas,13593
Full Campus,September,2015,Gas,16090
Full Campus,October,2015,Gas,19576
Full Campus,November,2015,Gas,4502
Full Campus,December,2015,Gas,4872
Full Campus,January,2016,Gas,6049
Full Campus,February,2016,Gas,7349
Full Campus,March,2016,Gas,3083
Full Campus,April,2016,Gas,5263
Full Campus,May,2016,Gas,17540
Full Campus,June,2016,Gas,12321
Full Campus,July,2016,Gas,13971
Full Campus,August,2016,Gas,17152
Full Campus,September,2016,Gas,18185
Full Campus,October,2016,Gas,15776
Full Campus,November,2016,Gas,2389
Full Campus,December,2016,Gas,4751
Full Campus,January,2017,Gas,12671
Full Campus,February,2017,Gas,2330
Full Campus,March,2017,Gas,6002
Full Campus,April,2017,Gas,2084
Full Campus,May,2017,Gas,2656
Full Campus,June,2017,Gas,8092
Full Campus,July,2017,Gas,13074
Full Campus,August,2017,Gas,10786
